date,sales
2024-08-09,14314.0
2024-08-10,12841.0
2024-08-11,11063.0
2024-08-12,11969.0
2024-08-13,11232.0
2024-08-14,11497.0
2024-08-15,10442.0
2024-08-16,12231.0
2024-08-17,12963.0
2024-08-18,11884.0
2024-08-19,13625.0
2024-08-20,13326.0
2024-08-21,11726.0
2024-08-22,11508.0
2024-08-23,11537.0
2024-08-24,9921.0
2024-08-25,11522.0
2024-08-26,9379.0
2024-08-27,12787.0
2024-08-28,12272.0
2024-08-29,12655.0
2024-08-30,13218.0
2024-08-31,11632.0
2024-09-01,12938.0
2024-09-02,12774.0
2024-09-03,11426.0
2024-09-04,11926.0
2024-09-05,9954.0
2024-09-06,11271.0
2024-09-07,11067.0
2024-09-08,11909.0
2024-09-09,11407.0
2024-09-10,10923.0
2024-09-11,10298.0
2024-09-12,11548.0
2024-09-13,14017.0
2024-09-14,11643.0
2024-09-15,12250.0
2024-09-16,11248.0
2024-09-17,10594.0
2024-09-18,10935.0
2024-09-19,12025.0
2024-09-20,10186.0
2024-09-21,10476.0
2024-09-22,10860.0
2024-09-23,10843.0
2024-09-24,10066.0
2024-09-25,12409.0
2024-09-26,12176.0
2024-09-27,12891.0
2024-09-28,10396.0
2024-09-29,12107.0
2024-09-30,13632.0
2024-10-01,12406.0
2024-10-02,11563.0
2024-10-03,12303.0
2024-10-04,11528.0
2024-10-05,10689.0
2024-10-06,12076.0
2024-10-07,12053.0
2024-10-08,13372.0
2024-10-09,11772.0
2024-10-10,11879.0
2024-10-11,11668.0
2024-10-12,10467.0
2024-10-13,12256.0
2024-10-14,14393.0
2024-10-15,11886.0
2024-10-16,11604.0
2024-10-17,11551.0
2024-10-18,11626.0
2024-10-19,13095.0
2024-10-20,10914.0
2024-10-21,11754.0
2024-10-22,11120.0
2024-10-23,12649.0
2024-10-24,12306.0
2024-10-25,11260.0
2024-10-26,10825.0
2024-10-27,13103.0
2024-10-28,12464.0
2024-10-29,12549.0
2024-10-30,12569.0
2024-10-31,13873.0
2024-11-01,11452.0
2024-11-02,11391.0
2024-11-03,11621.0
2024-11-04,10822.0
2024-11-05,11647.0
2024-11-06,13641.0
2024-11-07,13373.0
2024-11-08,13572.0
2024-11-09,11326.0
2024-11-10,11461.0
2024-11-11,10871.0
2024-11-12,13653.0
2024-11-13,13843.0
2024-11-14,13853.0
2024-11-15,14408.0
2024-11-16,12430.0
2024-11-17,13545.0
2024-11-18,12630.0
2024-11-19,11041.0
2024-11-20,13769.0
2024-11-21,11043.0
2024-11-22,13105.0
2024-11-23,13106.0
2024-11-24,12515.0
2024-11-25,15371.0
2024-11-26,10977.0
2024-11-27,12964.0
2024-11-28,13094.0
2024-11-29,11692.0
2024-11-30,11200.0
2024-12-01,11527.0
2024-12-02,12019.0
2024-12-03,13091.0
2024-12-04,12593.0
2024-12-05,13595.0
2024-12-06,13975.0
2024-12-07,13095.0
2024-12-08,12127.0
2024-12-09,13670.0
2024-12-10,14503.0
2024-12-11,13900.0
2024-12-12,15450.0
2024-12-13,14536.0
2024-12-14,14441.0
2024-12-15,10185.0
2024-12-16,13667.0
2024-12-17,13239.0
2024-12-18,13483.0
2024-12-19,12770.0
2024-12-20,14111.0
2024-12-21,11020.0
2024-12-22,13328.0
2024-12-23,12915.0
2024-12-24,13242.0
2024-12-25,14308.0
2024-12-26,13940.0
2024-12-27,15052.0
2024-12-28,12062.0
2024-12-29,13020.0
2024-12-30,14964.0
2024-12-31,14405.0
2025-01-01,14507.0
2025-01-02,15305.0
2025-01-03,13631.0
2025-01-04,12616.0
2025-01-05,13912.0
2025-01-06,14008.0
2025-01-07,15483.0
2025-01-08,14658.0
2025-01-09,13555.0
2025-01-10,14683.0
2025-01-11,12493.0
2025-01-12,14515.0
2025-01-13,12776.0
2025-01-14,15822.0
2025-01-15,14813.0
2025-01-16,14280.0
2025-01-17,15385.0
2025-01-18,14215.0
2025-01-19,15140.0
2025-01-20,16127.0
2025-01-21,15026.0
2025-01-22,13621.0
2025-01-23,14035.0
2025-01-24,14615.0
2025-01-25,15041.0
2025-01-26,13363.0
2025-01-27,14341.0
2025-01-28,16999.0
2025-01-29,14713.0
2025-01-30,14109.0
2025-01-31,15816.0
2025-02-01,13959.0
2025-02-02,12486.0
2025-02-03,16217.0
2025-02-04,14100.0
2025-02-05,15074.0
2025-02-06,14965.0
2025-02-07,15350.0
2025-02-08,11704.0
2025-02-09,13834.0
2025-02-10,16510.0
2025-02-11,16708.0
2025-02-12,13991.0
2025-02-13,16340.0
2025-02-14,14315.0
2025-02-15,13920.0
2025-02-16,14002.0
2025-02-17,15445.0
2025-02-18,16563.0
2025-02-19,15681.0
2025-02-20,15223.0
2025-02-21,16591.0
2025-02-22,13565.0
2025-02-23,14425.0
2025-02-24,16694.0
2025-02-25,16138.0
2025-02-26,14924.0
2025-02-27,13643.0
2025-02-28,15927.0
2025-03-01,12779.0
2025-03-02,14394.0
2025-03-03,17067.0
2025-03-04,16359.0
2025-03-05,13100.0
2025-03-06,15899.0
2025-03-07,15264.0
2025-03-08,13238.0
2025-03-09,15150.0
2025-03-10,15094.0
2025-03-11,15116.0
2025-03-12,15898.0
2025-03-13,14967.0
2025-03-14,15890.0
2025-03-15,14132.0
2025-03-16,14209.0
2025-03-17,17064.0
2025-03-18,17206.0
2025-03-19,13669.0
2025-03-20,16791.0
2025-03-21,17629.0
2025-03-22,16772.0
2025-03-23,15545.0
2025-03-24,14542.0
2025-03-25,16696.0
2025-03-26,14798.0
2025-03-27,15476.0
2025-03-28,16408.0
2025-03-29,14009.0
2025-03-30,13605.0
2025-03-31,16536.0
2025-04-01,18331.0
2025-04-02,17541.0
2025-04-03,16863.0
2025-04-04,17216.0
2025-04-05,15777.0
2025-04-06,15556.0
2025-04-07,17126.0
2025-04-08,14231.0
2025-04-09,16239.0
2025-04-10,15883.0
2025-04-11,16089.0
2025-04-12,14476.0
2025-04-13,15658.0
2025-04-14,14945.0
2025-04-15,15309.0
2025-04-16,15156.0
2025-04-17,17097.0
2025-04-18,15976.0
2025-04-19,14476.0
2025-04-20,14579.0
2025-04-21,15990.0
2025-04-22,18057.0
2025-04-23,14399.0
2025-04-24,16840.0
2025-04-25,16576.0
2025-04-26,13950.0
2025-04-27,16767.0
2025-04-28,16647.0
2025-04-29,15305.0
2025-04-30,13575.0
2025-05-01,16233.0
2025-05-02,15878.0
2025-05-03,13737.0
2025-05-04,13716.0
2025-05-05,17018.0
2025-05-06,13416.0
2025-05-07,16296.0
2025-05-08,15649.0
2025-05-09,16509.0
2025-05-10,14565.0
2025-05-11,15257.0
2025-05-12,14906.0
2025-05-13,15775.0
2025-05-14,16446.0
2025-05-15,16006.0
2025-05-16,16284.0
2025-05-17,13742.0
2025-05-18,14132.0
2025-05-19,15043.0
2025-05-20,15405.0
2025-05-21,17451.0
2025-05-22,15281.0
2025-05-23,14276.0
2025-05-24,15396.0
2025-05-25,16332.0
2025-05-26,14089.0
2025-05-27,18126.0
2025-05-28,16159.0
2025-05-29,16917.0
2025-05-30,17440.0
2025-05-31,15797.0
2025-06-01,14512.0
2025-06-02,17076.0
2025-06-03,15860.0
2025-06-04,16881.0
2025-06-05,16998.0
2025-06-06,14140.0
2025-06-07,15470.0
2025-06-08,14318.0
2025-06-09,15609.0
2025-06-10,15577.0
2025-06-11,15509.0
2025-06-12,17259.0
2025-06-13,13685.0
2025-06-14,12438.0
2025-06-15,12179.0
2025-06-16,16618.0
2025-06-17,14343.0
2025-06-18,15431.0
2025-06-19,15110.0
2025-06-20,14151.0
2025-06-21,15272.0
2025-06-22,14134.0
2025-06-23,14883.0
2025-06-24,15434.0
2025-06-25,16004.0
2025-06-26,13952.0
2025-06-27,16145.0
2025-06-28,15810.0
2025-06-29,12534.0
2025-06-30,15365.0
2025-07-01,14644.0
2025-07-02,15828.0
2025-07-03,13512.0
2025-07-04,16897.0
2025-07-05,12228.0
2025-07-06,13740.0
2025-07-07,15405.0
2025-07-08,14051.0
2025-07-09,13846.0
2025-07-10,15091.0
2025-07-11,14899.0
2025-07-12,13906.0
2025-07-13,14834.0
2025-07-14,14281.0
2025-07-15,15103.0
2025-07-16,14111.0
2025-07-17,13689.0
2025-07-18,14333.0
2025-07-19,13220.0
2025-07-20,13257.0
2025-07-21,15971.0
2025-07-22,14293.0
2025-07-23,13798.0
2025-07-24,14585.0
2025-07-25,14654.0
2025-07-26,12348.0
2025-07-27,13301.0
2025-07-28,14086.0
2025-07-29,14261.0
2025-07-30,15280.0
2025-07-31,14582.0
2025-08-01,15822.0
2025-08-02,13514.0
2025-08-03,15430.0
2025-08-04,13827.0
2025-08-05,13456.0
2025-08-06,14950.0
2025-08-07,15868.0
2025-08-08,12714.0
2025-08-09,13207.0
2025-08-10,12749.0
2025-08-11,14407.0
2025-08-12,14241.0
2025-08-13,15745.0
2025-08-14,14078.0
2025-08-15,15747.0
2025-08-16,12987.0
2025-08-17,14297.0
2025-08-18,14406.0
2025-08-19,16090.0
2025-08-20,12453.0
2025-08-21,12796.0
2025-08-22,16164.0
2025-08-23,12465.0
2025-08-24,12522.0
2025-08-25,13079.0
2025-08-26,15346.0
2025-08-27,12636.0
2025-08-28,14060.0
2025-08-29,13728.0
2025-08-30,14268.0
2025-08-31,12574.0
2025-09-01,14465.0
2025-09-02,12681.0
2025-09-03,16529.0
2025-09-04,13710.0
2025-09-05,13981.0
2025-09-06,14865.0
2025-09-07,12506.0
2025-09-08,15816.0
2025-09-09,13490.0
2025-09-10,14694.0
2025-09-11,13302.0
2025-09-12,12425.0
2025-09-13,13532.0
2025-09-14,13766.0
2025-09-15,12462.0
2025-09-16,13585.0
2025-09-17,15263.0
2025-09-18,14593.0
2025-09-19,13483.0
2025-09-20,12462.0
2025-09-21,15128.0
2025-09-22,12313.0
2025-09-23,13860.0
2025-09-24,12295.0
2025-09-25,15394.0
2025-09-26,13924.0
2025-09-27,13285.0
2025-09-28,16004.0
2025-09-29,13280.0
2025-09-30,15897.0
2025-10-01,13515.0
2025-10-02,13696.0
2025-10-03,16909.0
2025-10-04,12961.0
2025-10-05,11692.0
2025-10-06,14298.0
2025-10-07,13796.0
2025-10-08,14409.0
2025-10-09,13857.0
2025-10-10,16499.0
2025-10-11,13770.0
2025-10-12,12058.0
2025-10-13,14185.0
2025-10-14,13157.0
2025-10-15,13788.0
2025-10-16,13053.0
2025-10-17,16466.0
2025-10-18,12524.0
2025-10-19,13999.0
2025-10-20,13764.0
2025-10-21,12833.0
2025-10-22,14382.0
2025-10-23,14627.0
2025-10-24,14822.0
2025-10-25,10551.0
2025-10-26,12046.0
2025-10-27,15327.0
2025-10-28,13200.0
2025-10-29,14502.0
2025-10-30,12851.0
2025-10-31,15144.0
2025-11-01,14469.0
2025-11-02,14273.0
2025-11-03,15550.0
2025-11-04,16183.0
2025-11-05,13051.0
2025-11-06,13515.0
2025-11-07,15483.0
2025-11-08,14829.0
2025-11-09,12885.0
2025-11-10,13647.0
2025-11-11,13775.0
2025-11-12,12687.0
2025-11-13,13097.0
2025-11-14,13146.0
2025-11-15,13426.0
2025-11-16,14071.0
2025-11-17,15185.0
2025-11-18,14103.0
2025-11-19,14156.0
2025-11-20,14898.0
2025-11-21,13009.0
2025-11-22,14984.0
2025-11-23,15375.0
2025-11-24,14114.0
2025-11-25,14410.0
2025-11-26,16396.0
2025-11-27,14793.0
2025-11-28,15672.0
2025-11-29,13992.0
2025-11-30,15882.0
2025-12-01,15644.0
2025-12-02,15744.0
2025-12-03,15797.0
2025-12-04,14469.0
2025-12-05,14609.0
2025-12-06,15168.0
2025-12-07,14462.0
2025-12-08,13824.0
2025-12-09,17584.0
2025-12-10,16522.0
2025-12-11,15400.0
2025-12-12,15049.0
2025-12-13,14722.0
2025-12-14,15122.0
2025-12-15,12962.0
2025-12-16,18133.0
2025-12-17,14561.0
2025-12-18,15573.0
2025-12-19,15651.0
2025-12-20,17050.0
2025-12-21,14628.0
2025-12-22,17700.0
2025-12-23,16249.0
2025-12-24,14556.0
2025-12-25,15973.0
2025-12-26,15685.0
2025-12-27,13622.0
2025-12-28,15375.0
2025-12-29,15962.0
2025-12-30,16678.0
2025-12-31,16247.0
